,tier,leagueId,queue,name,entries,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
10,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'fHcSkg-xQsvvA_BZRM3NKz2weNvv-jmm9-im9uVII-GnXOQixxywpTiNrQ', 'summonerName': 'haoyunbaobel', 'leaguePoints': 1449, 'rank': 'I', 'wins': 568, 'losses': 470, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",fHcSkg-xQsvvA_BZRM3NKz2weNvv-jmm9-im9uVII-GnXOQixxywpTiNrQ,haoyunbaobel,1449,568,470,True,False,False,False
11,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '9ZHoWjNFMPwZ4dgRrnExNjd2A5DttUHr7BnZOD0QTbaqx2w', 'summonerName': '나는 준일하다', 'leaguePoints': 1404, 'rank': 'I', 'wins': 309, 'losses': 238, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",9ZHoWjNFMPwZ4dgRrnExNjd2A5DttUHr7BnZOD0QTbaqx2w,나는 준일하다,1404,309,238,True,False,False,False
12,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'W0z9vLr0LTiOwryhG4o--YG67-ghLpjJB19W5KoxFaUh8zM', 'summonerName': '미드 왕자 권지인', 'leaguePoints': 1394, 'rank': 'I', 'wins': 334, 'losses': 257, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",W0z9vLr0LTiOwryhG4o--YG67-ghLpjJB19W5KoxFaUh8zM,미드 왕자 권지인,1394,334,257,True,False,False,False
13,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'LjyusdTx2PR623Xwyeb3_94debyqzyh5Ib8YOooMdYvf7e0', 'summonerName': 'Gen G Peyz', 'leaguePoints': 1379, 'rank': 'I', 'wins': 960, 'losses': 882, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",LjyusdTx2PR623Xwyeb3_94debyqzyh5Ib8YOooMdYvf7e0,Gen G Peyz,1379,960,882,True,False,False,False
14,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'htiO4rJS6m9zKnUoYb-lYCdsA8H7K9I-ZSaW81SDVK0AJo5WVkIM_86PQg', 'summonerName': 'wu guan feng yue', 'leaguePoints': 1359, 'rank': 'I', 'wins': 724, 'losses': 643, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",htiO4rJS6m9zKnUoYb-lYCdsA8H7K9I-ZSaW81SDVK0AJo5WVkIM_86PQg,wu guan feng yue,1359,724,643,True,False,False,False
15,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '0lrgI1XLETC7hyuI8Wog9Uiht4soY3IYO3o9fu9o98gLVGukmi97I3TZQQ', 'summonerName': 'ndbg', 'leaguePoints': 1351, 'rank': 'I', 'wins': 238, 'losses': 182, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",0lrgI1XLETC7hyuI8Wog9Uiht4soY3IYO3o9fu9o98gLVGukmi97I3TZQQ,ndbg,1351,238,182,True,False,False,False
16,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'xtuvGn9Wrvzq7Xo36ftLSxyq4UrqdzgzfiweyI3aJRUhfok', 'summonerName': 'T1 Gumayusi', 'leaguePoints': 1347, 'rank': 'I', 'wins': 814, 'losses': 742, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",xtuvGn9Wrvzq7Xo36ftLSxyq4UrqdzgzfiweyI3aJRUhfok,T1 Gumayusi,1347,814,742,True,False,False,False
17,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'XmDikFhVvsqek3VSqSZgY8RBb8GzKoG21aBv4cChG7bSiB3b', 'summonerName': '가고싶다 롤드컵', 'leaguePoints': 1343, 'rank': 'I', 'wins': 379, 'losses': 306, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",XmDikFhVvsqek3VSqSZgY8RBb8GzKoG21aBv4cChG7bSiB3b,가고싶다 롤드컵,1343,379,306,True,False,False,False
18,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'Xx03-wMLloogPbQutXfPJsN-H_G5zwxSs2YBt3_drZKNCvE', 'summonerName': 'KT Ucal', 'leaguePoints': 1341, 'rank': 'I', 'wins': 474, 'losses': 404, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Xx03-wMLloogPbQutXfPJsN-H_G5zwxSs2YBt3_drZKNCvE,KT Ucal,1341,474,404,True,False,False,False
19,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'EMkXMBB3mcm901byJAtbzAaODkNNC0rWXgV2fxznlovL8eA', 'summonerName': 'KT Way', 'leaguePoints': 1339, 'rank': 'I', 'wins': 462, 'losses': 384, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",EMkXMBB3mcm901byJAtbzAaODkNNC0rWXgV2fxznlovL8eA,KT Way,1339,462,384,True,False,False,False
20,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'TFpSb-r5z-ibfKwFFHe7t7e885tsqbW1sfw2iVMYiMoUGfQ', 'summonerName': 'DK ShowMaker', 'leaguePoints': 1329, 'rank': 'I', 'wins': 315, 'losses': 245, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",TFpSb-r5z-ibfKwFFHe7t7e885tsqbW1sfw2iVMYiMoUGfQ,DK ShowMaker,1329,315,245,True,False,False,False
21,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '42ggzAZjDMbU-cS2vWhGgwk2KRhHwOGyNaiiU3S6aewmJIU', 'summonerName': 'Gen G Burdol', 'leaguePoints': 1327, 'rank': 'I', 'wins': 245, 'losses': 165, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",42ggzAZjDMbU-cS2vWhGgwk2KRhHwOGyNaiiU3S6aewmJIU,Gen G Burdol,1327,245,165,True,False,False,True
22,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'YbOMORpKFj-VytjoAgoJI3jh5F9tXw-oEZn4UW-aBgL_gIA0Q9tpdcuOvA', 'summonerName': 'Cliffteezy', 'leaguePoints': 1319, 'rank': 'I', 'wins': 546, 'losses': 468, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",YbOMORpKFj-VytjoAgoJI3jh5F9tXw-oEZn4UW-aBgL_gIA0Q9tpdcuOvA,Cliffteezy,1319,546,468,True,False,False,False
